Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:30:46)
Fra:14 Mem:81.18M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Area
Fra:14 Mem:82.64M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Eave silver edge.007
Fra:14 Mem:82.64M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Stone terrace.007
Fra:14 Mem:82.65M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Entrance door.004
Fra:14 Mem:82.66M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glove.004
Fra:14 Mem:82.69M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Jacket forearm.004
Fra:14 Mem:82.70M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Jacket upper sleeve.004
Fra:14 Mem:82.71M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door glazing.004
Fra:14 Mem:82.69M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door handle.004
Fra:14 Mem:82.72M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Entrance door.005
Fra:14 Mem:82.72M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door glazing.005
Fra:14 Mem:82.76M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door handle.005
Fra:14 Mem:82.77M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Entrance canopy.002
Fra:14 Mem:82.77M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Trouser shin.004
Fra:14 Mem:82.78M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Canopy column.005
Fra:14 Mem:82.78M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Trouser thigh.004
Fra:14 Mem:82.79M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace stairs.016
Fra:14 Mem:82.78M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace stairs.017
Fra:14 Mem:82.79M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Jacket.002
Fra:14 Mem:82.85M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pelvis.002
Fra:14 Mem:82.86M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace stairs.018
Fra:14 Mem:82.84M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace stairs.020
Fra:14 Mem:82.90M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace stairs.021
Fra:14 Mem:82.93M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace stairs.022
Fra:14 Mem:82.92M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Jacket reflective strip
Fra:14 Mem:82.95M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace stairs.023
Fra:14 Mem:82.98M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.024
Fra:14 Mem:82.97M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.025
Fra:14 Mem:82.98M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Breathing air cylinder.001
Fra:14 Mem:82.98M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.026
Fra:14 Mem:82.99M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Breathing air cylinder
Fra:14 Mem:83.01M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Face shield
Fra:14 Mem:83.01M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.056
Fra:14 Mem:83.03M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.057
Fra:14 Mem:83.03M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.058
Fra:14 Mem:83.02M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.060
Fra:14 Mem:83.04M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.061
Fra:14 Mem:83.02M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Helmet brim
Fra:14 Mem:83.03M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion.033
Fra:14 Mem:83.07M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Primary rib.008
Fra:14 Mem:83.06M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Eave silver edge.008
Fra:14 Mem:83.06M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roof rib.008
Fra:14 Mem:83.06M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Stone terrace.008
Fra:14 Mem:83.06M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Safety helmet
Fra:14 Mem:83.08M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.027
Fra:14 Mem:83.09M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Adult head.001
Fra:14 Mem:83.12M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.028
Fra:14 Mem:83.12M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Neck.001
Fra:14 Mem:83.16M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.029
Fra:14 Mem:83.14M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sleeve reflective band.001
Fra:14 Mem:83.16M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.063
Fra:14 Mem:83.17M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glove.003
Fra:14 Mem:83.17M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.064
Fra:14 Mem:83.18M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.065
Fra:14 Mem:83.19M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.066
Fra:14 Mem:83.18M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.067
Fra:14 Mem:83.19M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.068
Fra:14 Mem:83.19M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.069
Fra:14 Mem:83.19M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion.034
Fra:14 Mem:83.20M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion.035
Fra:14 Mem:83.20M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion.037
Fra:14 Mem:83.21M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ankle reflective band.001
Fra:14 Mem:83.22M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Curved eave panel.009
Fra:14 Mem:83.22M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Boot.003
Fra:14 Mem:83.23M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Eave silver edge.009
Fra:14 Mem:83.24M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roof rib.009
Fra:14 Mem:83.25M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Stone terrace.009
Fra:14 Mem:83.25M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.031
Fra:14 Mem:83.30M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Trouser thigh.003
Fra:14 Mem:83.32M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sleeve reflective band
Fra:14 Mem:83.31M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glove.002
Fra:14 Mem:83.33M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.032
Fra:14 Mem:83.31M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Jacket forearm.002
Fra:14 Mem:83.32M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.071
Fra:14 Mem:83.35M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Jacket upper sleeve.002
Fra:14 Mem:83.34M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.073
Fra:14 Mem:83.35M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ankle reflective band
Fra:14 Mem:83.37M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Boot.002
Fra:14 Mem:83.35M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.076
Fra:14 Mem:83.36M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion.039
Fra:14 Mem:83.39M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion.040
Fra:14 Mem:83.38M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion.041
Fra:14 Mem:83.38M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Trouser shin.002
Fra:14 Mem:83.38M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion.043
Fra:14 Mem:83.39M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Trouser thigh.002
Fra:14 Mem:83.40M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Curved eave panel.010
Fra:14 Mem:83.40M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Jacket.001
Fra:14 Mem:83.42M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pelvis.001
Fra:14 Mem:83.43M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Stone terrace.010
Fra:14 Mem:83.46M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Entrance door.006
Fra:14 Mem:83.46M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door glazing.006
Fra:14 Mem:83.48M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door handle.006
Fra:14 Mem:83.54M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Entrance door.007
Fra:14 Mem:83.51M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Operations vest
Fra:14 Mem:83.51M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door handle.007
Fra:14 Mem:83.53M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Entrance canopy.003
Fra:14 Mem:83.57M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Canopy column.006
Fra:14 Mem:83.58M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Canopy column.007
Fra:14 Mem:83.58M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace stairs.024
Fra:14 Mem:83.58M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Hair
Fra:14 Mem:83.58M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace stairs.025
Fra:14 Mem:83.59M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace stairs.026
Fra:14 Mem:83.60M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Adult head
Fra:14 Mem:83.65M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Neck
Fra:14 Mem:83.64M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace stairs.027
Fra:14 Mem:83.67M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glove.001
Fra:14 Mem:83.67M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace stairs.028
Fra:14 Mem:83.67M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace stairs.029
Fra:14 Mem:83.71M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Jacket forearm.001
Fra:14 Mem:83.70M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace stairs.030
Fra:14 Mem:83.72M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Jacket upper sleeve.001
Fra:14 Mem:83.75M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Boot.001
Fra:14 Mem:83.74M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace stairs.031
Fra:14 Mem:83.76M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Trouser shin.001
Fra:14 Mem:83.75M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.033
Fra:14 Mem:83.78M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Trouser thigh.001
Fra:14 Mem:83.77M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.034
Fra:14 Mem:83.78M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glove
Fra:14 Mem:83.80M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Jacket forearm
Fra:14 Mem:83.81M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.035
Fra:14 Mem:83.80M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.077
Fra:14 Mem:83.83M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Jacket upper sleeve
Fra:14 Mem:83.82M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.078
Fra:14 Mem:83.82M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Boot
Fra:14 Mem:83.84M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.080
Fra:14 Mem:83.84M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.081
Fra:14 Mem:83.86M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Trouser shin
Fra:14 Mem:83.85M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.083
Fra:14 Mem:83.85M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion.044
Fra:14 Mem:83.85M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion.045
Fra:14 Mem:83.86M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Primary rib.011
Fra:14 Mem:83.86M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Curved eave panel.011
Fra:14 Mem:83.87M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Jacket
Fra:14 Mem:83.87M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roof rib.011
Fra:14 Mem:83.87M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Stone terrace.011
Fra:14 Mem:83.88M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.036
Fra:14 Mem:83.89M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.037
Fra:14 Mem:83.95M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pelvis
Fra:14 Mem:83.96M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Emergency beacon.003
Fra:14 Mem:83.96M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.038
Fra:14 Mem:83.98M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.084
Fra:14 Mem:83.98M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.085
Fra:14 Mem:83.99M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.086
Fra:14 Mem:84.00M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.087
Fra:14 Mem:84.00M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.088
Fra:14 Mem:83.99M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Emergency beacon.002
Fra:14 Mem:83.99M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.090
Fra:14 Mem:83.99M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion.046
Fra:14 Mem:84.00M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Primary rib.012
Fra:14 Mem:84.00M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Curved eave panel.012
Fra:14 Mem:84.01M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Roof rib.012
Fra:14 Mem:84.01M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Stone terrace.012
Fra:14 Mem:84.04M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.039
Fra:14 Mem:84.06M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.040
Fra:14 Mem:84.07M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.041
Fra:14 Mem:84.09M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lightbar housing.001
Fra:14 Mem:84.10M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.091
Fra:14 Mem:84.11M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.092
Fra:14 Mem:84.10M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.093
Fra:14 Mem:84.11M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.094
Fra:14 Mem:84.11M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.095
Fra:14 Mem:84.14M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.096
Fra:14 Mem:84.11M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion.048
Fra:14 Mem:84.11M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion.049
Fra:14 Mem:84.13M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion.050
Fra:14 Mem:84.12M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Primary rib.013
Fra:14 Mem:84.15M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Curved eave panel.013
Fra:14 Mem:84.15M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Eave silver edge.013
Fra:14 Mem:84.15M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Stone terrace.013
Fra:14 Mem:84.16M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Entrance door.008
Fra:14 Mem:84.17M (Peak 86.05M) | Time:00:00.07 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Door glazing.008
